Simulation of Simon quantum algorithm.
bits = 2, simulations = 200
N	steps	time	time/steps
0	1	0.045	0.045
1	2	0.044	0.022
2	1	0.044	0.044
3	2	0.044	0.022
4	1	0.044	0.044
5	3	0.044	0.015
6	1	0.044	0.044
7	2	0.044	0.022
8	1	0.044	0.044
9	1	0.044	0.044
10	4	0.044	0.011
11	1	0.044	0.044
12	2	0.044	0.022
13	1	0.044	0.044
14	2	0.044	0.022
15	1	0.045	0.045
16	1	0.044	0.044
17	1	0.044	0.044
18	3	0.044	0.015
19	4	0.044	0.011
20	5	0.045	0.009
21	1	0.044	0.044
22	2	0.044	0.022
23	3	0.044	0.015
24	1	0.044	0.044
25	2	0.044	0.022
26	1	0.044	0.044
27	1	0.044	0.044
28	1	0.044	0.044
29	1	0.044	0.044
30	1	0.043	0.043
31	2	0.044	0.022
32	1	0.044	0.044
33	3	0.044	0.015
34	5	0.045	0.009
35	1	0.044	0.044
36	1	0.044	0.044
37	1	0.044	0.044
38	2	0.044	0.022
39	4	0.044	0.011
40	1	0.043	0.043
41	7	0.045	0.006
42	4	0.045	0.011
43	6	0.045	0.008
44	1	0.043	0.043
45	1	0.042	0.042
46	2	0.042	0.021
47	3	0.043	0.014
48	1	0.042	0.042
49	1	0.042	0.042
50	2	0.043	0.021
51	1	0.042	0.042
52	2	0.042	0.021
53	1	0.042	0.042
54	1	0.042	0.042
55	1	0.042	0.042
56	1	0.042	0.042
57	1	0.042	0.042
58	2	0.042	0.021
59	3	0.043	0.014
60	1	0.042	0.042
61	3	0.043	0.014
62	2	0.042	0.021
63	1	0.042	0.042
64	3	0.043	0.014
65	4	0.043	0.011
66	2	0.042	0.021
67	2	0.042	0.021
68	2	0.042	0.021
69	3	0.042	0.014
70	3	0.042	0.014
71	1	0.042	0.042
72	1	0.042	0.042
73	1	0.042	0.042
74	2	0.042	0.021
75	2	0.043	0.021
76	2	0.042	0.021
77	1	0.042	0.042
78	3	0.042	0.014
79	1	0.042	0.042
80	1	0.042	0.042
81	1	0.042	0.042
82	2	0.043	0.021
83	1	0.043	0.043
84	2	0.043	0.021
85	5	0.043	0.009
86	3	0.042	0.014
87	1	0.042	0.042
88	2	0.043	0.021
89	1	0.042	0.042
90	3	0.043	0.014
91	3	0.043	0.014
92	1	0.042	0.042
93	2	0.042	0.021
94	3	0.043	0.014
95	2	0.042	0.021
96	1	0.042	0.042
97	2	0.042	0.021
98	4	0.043	0.011
99	1	0.042	0.042
100	1	0.042	0.042
101	4	0.043	0.011
102	1	0.042	0.042
103	1	0.042	0.042
104	1	0.042	0.042
105	2	0.043	0.021
106	4	0.042	0.011
107	2	0.042	0.021
108	4	0.043	0.011
109	2	0.042	0.021
110	1	0.043	0.043
111	1	0.042	0.042
112	2	0.043	0.021
113	1	0.042	0.042
114	1	0.042	0.042
