rodrigo@hal ~/qc/python % python simon.py 
0/1000 N = 3.0
1/1000 N = 3.0
2/1000 N = 2.6666666666666665
3/1000 N = 3.5
4/1000 N = 4.2
5/1000 N = 4.166666666666667
6/1000 N = 4.285714285714286
7/1000 N = 4.0
8/1000 N = 3.7777777777777777
9/1000 N = 3.8
10/1000 N = 3.6363636363636362
11/1000 N = 3.6666666666666665
12/1000 N = 3.6923076923076925
13/1000 N = 3.642857142857143
14/1000 N = 3.6
15/1000 N = 3.8125
16/1000 N = 3.764705882352941
17/1000 N = 3.7777777777777777
18/1000 N = 4.052631578947368
19/1000 N = 3.95
20/1000 N = 3.9047619047619047
21/1000 N = 3.8181818181818183
22/1000 N = 3.9130434782608696
23/1000 N = 3.8333333333333335
24/1000 N = 3.76
25/1000 N = 3.6923076923076925
26/1000 N = 3.6296296296296298
27/1000 N = 3.5714285714285716
28/1000 N = 3.586206896551724
29/1000 N = 3.566666666666667
30/1000 N = 3.5483870967741935
31/1000 N = 3.5625
32/1000 N = 3.5757575757575757
33/1000 N = 3.5294117647058822
34/1000 N = 3.4857142857142858
35/1000 N = 3.5
36/1000 N = 3.5135135135135136
37/1000 N = 3.6052631578947367
38/1000 N = 3.5641025641025643
39/1000 N = 3.525
40/1000 N = 3.5365853658536586
41/1000 N = 3.5
42/1000 N = 3.558139534883721
43/1000 N = 3.5681818181818183
44/1000 N = 3.533333333333333
45/1000 N = 3.5
46/1000 N = 3.4680851063829787
47/1000 N = 3.4583333333333335
48/1000 N = 3.4285714285714284
49/1000 N = 3.4
50/1000 N = 3.372549019607843
51/1000 N = 3.3846153846153846
52/1000 N = 3.358490566037736
53/1000 N = 3.3518518518518516
54/1000 N = 3.327272727272727
55/1000 N = 3.3214285714285716
56/1000 N = 3.3333333333333335
57/1000 N = 3.3448275862068964
58/1000 N = 3.3220338983050848
59/1000 N = 3.3
60/1000 N = 3.3114754098360657
61/1000 N = 3.2903225806451615
62/1000 N = 3.2698412698412698
63/1000 N = 3.265625
64/1000 N = 3.246153846153846
65/1000 N = 3.257575757575758
66/1000 N = 3.2388059701492535
67/1000 N = 3.2205882352941178
68/1000 N = 3.217391304347826
69/1000 N = 3.2142857142857144
70/1000 N = 3.1971830985915495
71/1000 N = 3.1944444444444446
72/1000 N = 3.1780821917808217
73/1000 N = 3.175675675675676
74/1000 N = 3.1733333333333333
75/1000 N = 3.223684210526316
76/1000 N = 3.207792207792208
77/1000 N = 3.1923076923076925
78/1000 N = 3.1772151898734178
79/1000 N = 3.2
80/1000 N = 3.197530864197531
81/1000 N = 3.182926829268293
82/1000 N = 3.1927710843373496
83/1000 N = 3.1904761904761907
84/1000 N = 3.1882352941176473
85/1000 N = 3.186046511627907
86/1000 N = 3.2298850574712645
87/1000 N = 3.215909090909091
88/1000 N = 3.235955056179775
89/1000 N = 3.2555555555555555
90/1000 N = 3.2527472527472527
91/1000 N = 3.239130434782609
92/1000 N = 3.236559139784946
93/1000 N = 3.234042553191489
94/1000 N = 3.2526315789473683
95/1000 N = 3.25
96/1000 N = 3.2577319587628866
97/1000 N = 3.295918367346939
98/1000 N = 3.292929292929293
99/1000 N = 3.35
100/1000 N = 3.3465346534653464
101/1000 N = 3.3529411764705883
102/1000 N = 3.3592233009708736
103/1000 N = 3.3653846153846154
104/1000 N = 3.3714285714285714
105/1000 N = 3.358490566037736
106/1000 N = 3.3738317757009346
107/1000 N = 3.3703703703703702
108/1000 N = 3.3577981651376145
109/1000 N = 3.3636363636363638
110/1000 N = 3.369369369369369
111/1000 N = 3.375
112/1000 N = 3.3628318584070795
113/1000 N = 3.3508771929824563
114/1000 N = 3.365217391304348
115/1000 N = 3.3620689655172415
116/1000 N = 3.358974358974359
117/1000 N = 3.3728813559322033
118/1000 N = 3.361344537815126
119/1000 N = 3.4
120/1000 N = 3.3884297520661155
121/1000 N = 3.377049180327869
122/1000 N = 3.3658536585365852
123/1000 N = 3.370967741935484
124/1000 N = 3.36
125/1000 N = 3.365079365079365
126/1000 N = 3.3622047244094486
127/1000 N = 3.3515625
128/1000 N = 3.364341085271318
129/1000 N = 3.353846153846154
130/1000 N = 3.3435114503816794
131/1000 N = 3.340909090909091
132/1000 N = 3.345864661654135
133/1000 N = 3.3582089552238807
134/1000 N = 3.362962962962963
135/1000 N = 3.3529411764705883
136/1000 N = 3.3576642335766422
137/1000 N = 3.369565217391304
138/1000 N = 3.3597122302158273
139/1000 N = 3.3785714285714286
140/1000 N = 3.368794326241135
141/1000 N = 3.359154929577465
142/1000 N = 3.3566433566433567
143/1000 N = 3.361111111111111
144/1000 N = 3.3517241379310345
145/1000 N = 3.3493150684931505
146/1000 N = 3.360544217687075
147/1000 N = 3.358108108108108
148/1000 N = 3.348993288590604
149/1000 N = 3.34
150/1000 N = 3.3311258278145695
151/1000 N = 3.3223684210526314
152/1000 N = 3.320261437908497
153/1000 N = 3.311688311688312
154/1000 N = 3.3096774193548386
155/1000 N = 3.3076923076923075
156/1000 N = 3.299363057324841
157/1000 N = 3.2911392405063293
158/1000 N = 3.2830188679245285
159/1000 N = 3.28125
160/1000 N = 3.2732919254658386
161/1000 N = 3.271604938271605
162/1000 N = 3.263803680981595
163/1000 N = 3.2560975609756095
164/1000 N = 3.2484848484848485
165/1000 N = 3.246987951807229
166/1000 N = 3.2395209580838324
167/1000 N = 3.238095238095238
168/1000 N = 3.2662721893491122
169/1000 N = 3.3058823529411763
170/1000 N = 3.309941520467836
171/1000 N = 3.302325581395349
172/1000 N = 3.30635838150289
173/1000 N = 3.3275862068965516
174/1000 N = 3.3257142857142856
175/1000 N = 3.335227272727273
176/1000 N = 3.3333333333333335
177/1000 N = 3.331460674157303
178/1000 N = 3.329608938547486
179/1000 N = 3.338888888888889
180/1000 N = 3.3370165745856353
181/1000 N = 3.3461538461538463
182/1000 N = 3.349726775956284
183/1000 N = 3.347826086956522
184/1000 N = 3.3567567567567567
185/1000 N = 3.349462365591398
186/1000 N = 3.3475935828877006
187/1000 N = 3.3404255319148937
188/1000 N = 3.3386243386243386
189/1000 N = 3.331578947368421
190/1000 N = 3.324607329842932
191/1000 N = 3.3177083333333335
192/1000 N = 3.3108808290155443
193/1000 N = 3.304123711340206
194/1000 N = 3.3333333333333335
195/1000 N = 3.3316326530612246
196/1000 N = 3.3248730964467006
197/1000 N = 3.3333333333333335
198/1000 N = 3.3266331658291457
199/1000 N = 3.34
200/1000 N = 3.3333333333333335
201/1000 N = 3.3316831683168315
202/1000 N = 3.3300492610837438
203/1000 N = 3.323529411764706
204/1000 N = 3.317073170731707
205/1000 N = 3.320388349514563
206/1000 N = 3.3381642512077296
207/1000 N = 3.331730769230769
208/1000 N = 3.3301435406698565
209/1000 N = 3.323809523809524
210/1000 N = 3.3270142180094786
211/1000 N = 3.3254716981132075
212/1000 N = 3.3333333333333335
213/1000 N = 3.3271028037383177
214/1000 N = 3.3209302325581396
215/1000 N = 3.314814814814815
216/1000 N = 3.3087557603686637
217/1000 N = 3.3073394495412844
218/1000 N = 3.310502283105023
219/1000 N = 3.309090909090909
220/1000 N = 3.3122171945701355
221/1000 N = 3.3063063063063063
222/1000 N = 3.304932735426009
223/1000 N = 3.3080357142857144
224/1000 N = 3.3333333333333335
225/1000 N = 3.327433628318584
226/1000 N = 3.3215859030837005
227/1000 N = 3.3201754385964914
228/1000 N = 3.3187772925764194
229/1000 N = 3.3173913043478263
230/1000 N = 3.311688311688312
231/1000 N = 3.3060344827586206
232/1000 N = 3.3047210300429186
233/1000 N = 3.299145299145299
234/1000 N = 3.297872340425532
235/1000 N = 3.2966101694915255
236/1000 N = 3.29957805907173
237/1000 N = 3.2941176470588234
238/1000 N = 3.297071129707113
239/1000 N = 3.2916666666666665
240/1000 N = 3.2863070539419086
241/1000 N = 3.2892561983471076
242/1000 N = 3.2839506172839505
243/1000 N = 3.278688524590164
244/1000 N = 3.2816326530612243
245/1000 N = 3.2804878048780486
246/1000 N = 3.2874493927125505
247/1000 N = 3.2983870967741935
248/1000 N = 3.2931726907630523
249/1000 N = 3.296
250/1000 N = 3.2908366533864544
251/1000 N = 3.2936507936507935
252/1000 N = 3.2885375494071147
253/1000 N = 3.283464566929134
254/1000 N = 3.2784313725490195
255/1000 N = 3.2734375
256/1000 N = 3.272373540856031
257/1000 N = 3.2751937984496124
258/1000 N = 3.2741312741312742
259/1000 N = 3.269230769230769
260/1000 N = 3.264367816091954
261/1000 N = 3.267175572519084
262/1000 N = 3.2699619771863118
263/1000 N = 3.2765151515151514
264/1000 N = 3.271698113207547
265/1000 N = 3.289473684210526
266/1000 N = 3.2883895131086143
267/1000 N = 3.298507462686567
268/1000 N = 3.2936802973977697
269/1000 N = 3.2925925925925927
270/1000 N = 3.2878228782287824
271/1000 N = 3.2830882352941178
272/1000 N = 3.282051282051282
273/1000 N = 3.291970802919708
